page 1	米內政策之批判
page 2	京鍾路連日戰事激烈我浴血搏戰斃日甚多鄂中日軍在我　殲中
page 2	沂水一帶發生激戰
page 2	津租界糧食並無變動
page 2	齋藤要求日政府說明侵華目的並謂近衛發表聲明過於理想謁民政黨　裁宣布脫離黨籍
page 2	湘北前線雨雪交加
page 2	杭州又發生排英運動
page 2	綏西戰況激烈進犯日軍均遭我阻擊薩縣包頭間交通破壞
page 2	川省推行禁煙計劃限三月底完全戒絕
page 2	滬山西路種德里劫案係汪之部下人員所為日方對此頗表不滿已遣散一部
page 2	桂臨參會通電討汪
page 2	日軍在南寧將飛機場擴拓作為襲擊中國西南根據地
page 2	廣州日軍火拼雙方各死亡百餘人
page 2	日機炸滇越路傷平民百餘人法人亦有數　受傷
page 2	晉西日軍向呂梁山竄擾晉南日軍在我猛攻中浮翼一帶我極佔優勢
page 2	美大使今日抵滬定期乘輪來港
page 2	日機轟炸遷江被我轟落一架
page 2	我繼續掃蕩蕭山殘日
page 2	冰天雪地中東北我軍活躍饒力河畔展開激戰日軍不支狼狽逃竄
page 2	滬法界一女子被暗殺
page 2	開封日軍慘敗遷怒於民
page 2	桂南日軍陷重重包圍四出蠢動被各個圍殲粵西我軍衝入西南斬殺極眾
page 3	英陸軍大臣演講務求獲得勝利希望能建立永久和平
page 3	新中央政權是什麼一
page 3	加里利亞地峽蘇軍繼續進攻刺都牙湖東北又有劇戰蘇軍屢次進犯均被擊退
page 3	前美總統胡佛為芬呼籲主張美國以糧食接濟芬蘭及波蘭
page 3	美高級官吏多主張再以財政助我對日施行禁運危險較大以財政助我即無異制日
page 3	偽中央政府無期實現成立日期屢被日方延宕最近又傳下月在寧成立
page 3	美勞工聯合委會痛斥希特勒及史太林謂其行動為人類公敵
page 3	印度並未受蘇威脅阿富汗邊境一帶亦並無蘇軍集合
page 3	汪特務機關第三組主任唐朝山全家中毒唐將出發蘇北收買游擊隊在寓舉行餞別筵事乃發生
page 3	佛蘭克林離滬赴青作假期之旅行
page 3	外交部亟謀增進中泰邦交渝各機關籌組討論會
page 3	銅陵一帶日軍出擾受挫
page 3	岳陽附近公路被我大加破壞
page 3	教部體委會明日閉幕
page 3	挪政府贈我國魚肝油
page 3	美新驅逐　舉行試飛成績甚為圓滿
page 3	英兩艘潛艇被德俘去
page 3	巴爾幹會議結果官方力持秘密羅外相已向大會聲明羅有與德意妥協傾向
page 5	派便衣隊混入桂洲
page 5	會商整理順德團隊
page 5	請求中山當局收編
page 5	詢以順德防務情形
page 5	偽軍紛紛反正
page 5	日艦擾甲子日機窺襲惠博
page 5	粵民政廳加緊推行禁煙
page 5	桂南各縣官長之功過錄
page 5	日軍在珠江下游加緊軍事設備
page 5	岐關路單車新定乘客章程
page 5	象山日軍被我擊潰
page 5	克魚中潭壓迫新街
page 5	粵北我軍攻勢加銳克魚中潭續攻新街花縣象山日軍改潰鐘落潭從化我襲大埔焚燬日機庫
page 5	夜襲大埔焚日機場
page 5	韶興路長途車一日恢復行駛
page 5	四戰區設所收容散兵游勇
page 5	韶關風度路店舖四家被焚
page 5	粵省府釐訂推進農倉業務計劃增加生產調節糧食由省銀行撥款辦理
page 5	容奇偽軍便衣隊企圖夜劫桂洲被我擊退並擊斃其首要李某吳飛決整理順德國隊金鐘外土匪請求收編渡船經該地可望安全
page 7	白晝防空演習昨在銀禧花園舉行
page 7	婦女兵災會餐舞會將舉行
page 7	標準零售物價是月無大變更
page 7	長洲海面三水雷爆炸海水沖擊觸撞礁石所致有無傷害人命現尚未悉
page 7	華振中函杜其章請協助募藥品
page 7	辦年貨者注意國貨展覽會昨日開幕出品豐富應有盡有設售賣部歡迎採購
page 7	昨日天氣奇寒溫度降至四十二度七
page 7	教育司希望全港學校遵行新例如試行後確感困難再謀辦法教聯會擬再請最高當局改善
page 8	火場遼闊
page 8	施救困難
page 8	趁火打劫
page 8	災民登記
page 8	善團施賑
page 8	九龍益栽書畫籌賑會農曆明年元月初二日開幕由名流馮梁何星儔等主持
page 8	保育會昨會議
page 8	修改監獄規例
page 8	港政府新委令
page 8	賽馬期間臨時交通則例
page 8	貨艇遇風沉沒榜人四名失蹤
page 8	炮兵定期演習
page 8	九龍棉花店增加防火設備
page 8	去月本港氣候得雨水僅二厘
page 8	琴齊書法班擴充
page 8	港督赴粉嶺渡假
page 8	六賊截劫貨艇
page 8	銀牌二週爭奪戰南南獲複賽權四比二淘汰洋水兵今日甲組聯賽兩場東方逢雛鳳光華戰警察
page 8	昨日球賬甲組銀牌第二週
page 8	東方整陣迎雛鳳
page 8	光華對抗警察會
page 8	宵來女籃壓軸戰勵志榮膺冠軍西南力戰敗績
page 8	大生杯排球賽英皇壓倒漢中今日保羅對逍遙
page 8	石峽尾村大火詳情寮屋七百間化為灰燼居民二萬餘人無家可歸各善團已紛紛設法救濟
