page 1	再論政治反攻
page 2	津日司令官表示繼續封鎖租界以待各懸案得完滿解決最近英國態度轉趨強硬
page 2	晉西日軍慘敗被殲三千餘人我克蒲縣後續克化樂鎮晉南運城傳又被我克復
page 2	廣九鐵路前線巡禮一
page 2	六全會六次大會
page 2	我機兩隊飛汴偵察
page 2	美對中國現狀聲明決不承認即在將來亦不致承認
page 2	日本米荒嚴重朝鮮大旱不但無米運日朝鮮本身糧食亦感不足
page 2	我大青山部隊進襲陶林
page 2	浦東綸昌紗廠商妥復工條件
page 2	桂囚犯自動請纓業經當局核准即將參加抗戰
page 2	日兵車在信陽中地雷
page 2	日正努力調整日蘇邦交不必理及英美日報所發言論
page 2	英法向美定製一百萬顆砲彈
page 2	德公安部每月例發訓書
page 2	劉德順連長勇戰殉職破壞同蒲路忻窯支線十餘里親斃日軍二十名始壯烈犧牲
page 2	北海仍在我軍手中欽縣展開激烈戰爭防城工事盡燬我略向後移
page 3	英外交界討論作戰目標主要目標不外獲致勝利其他問題暫時無庸考慮
page 3	倫敦金鎊價格低跌為本年內所僅見
page 3	德軍蹂躪下波蘭猶太人賤於牛馬在集中營每日工作十二小時將有數十萬猶太人迫離德奧
page 3	猶太難民一部擬移民旦諾島
page 3	蘇當局賜紅旂軍以列寧勳位此隊軍為夏間與日交戰者
page 3	墨西哥煤油權禁止讓給外國
page 3	芬蘭局面幾已恢復常態
page 3	西線前線無大變化法欲誘德軍出擊乘機打擊其主力
page 3	英對中國貨幣問題已持堅決立場最近英防軍撤離華北與其對遠東政策無關
page 3	德自由軍台播出自由黨之宣言不祇要求打破希特勒不且更要求解放德國
page 3	新西蘭牛油牛乳盡量為英收買
page 3	日議員喜多現正由德返日環遊半個世界結果絕無成績
page 3	英法戰時行動取得切實聯絡聯軍當局會議決定兩國資源會合運用
page 3	德各將領反對在本年內總攻希特勒欲速戰意見紛岐英法利用時機增強防務
page 3	英人夜遊滬西險被射殺
page 3	法軍前線中兩個美國人
page 3	德反納粹領袖不久即赴倫敦彼相信此次赴英必有貢獻於英國
page 3	德國向英大肆恫嚇謂德國將實行一舉擊破英國
page 3	捷克傀儡總統哈柴被德軟禁因哈柴拒絕德國之請下令捷人助德軍作戰
page 3	蘇在波佔領區仍遭波人抵抗蘇已下令嚴防波蘭破壞分子
page 3	捷克德當局封閉捷克大學拘捕捷克學生一千二百餘名
page 3	英機飛德偵察
page 3	埃及王宣佈盡力援助英法
page 3	加拿大等贊成空軍訓練計劃
page 3	德宣傳部發出幻想消息欲維繫人心反為不利
page 3	意西照會德國尊重荷比地位意對巴爾幹間題態度藉口防共乃企圖獨霸
page 5	我軍前午開始猛攻江會
page 5	謠傳中山緊張但無日蹤
page 5	中新邊境河面當局派隊搜剿續詳發生劫渡案多宗係偽軍餘孽所為
page 5	禁日貨以韶關為首辦區曲江懸製定長期檢查辦法組織八個檢查隊分區工作
page 5	我空軍襲潮安日工事多被毀
page 5	潮汕日軍動態
page 5	粵省食鹽運銷交鹽務局統辦省銀行解除運銷責任並許商人自由運銷
page 5	河南日兵衝突拔槍互擊傷過路人
page 5	川滇公路下月通車
page 5	中法邊防解嚴往芒街者仍須領證
page 5	第四戰區飭嚴查入境考察人員防止間諜乘機活動
page 5	中山守備隊將改編兩大隊由縣府負責改組
page 5	省振會再撥款救濟瓊屬難民
page 5	新會各界促進募衣運動
page 5	中山郵局舉辦僑民家屬登記便得僑民匯款
page 5	日方增兵深圳後昨又北犯平湖等地我軍在樟木頭與日軍激戰港惠交通路線昨仍然安謐
page 5	深圳日軍傾巢北竄
page 5	平湖龍崗又告陷落
page 5	港惠交通昨仍安定
page 5	大批漢奸四出活動
page 5	樟木頭昨展開血戰
page 5	吳飛決返中山主持軍事已電張吳袁籌備改組游擊區我軍猛攻江會戰況甚烈謠傳中山緊張各地尚安
page 7	現稅率難再增
page 7	所得稅最公平
page 7	大部華人意見
page 7	兩種相反意見
page 7	美大使昨赴滬
page 7	英戰時慰勞會第三次會議紀
page 7	中山青年會舉行電影籌賑
page 7	大埔道四賊截劫汽車乘客與司機均受損失
page 7	衛生局之議案
page 7	汕尾來港貨艇中途被匪截劫船桅亦被斬斷損失三千餘元六賊均持犀利槍械兇惡如虎
page 7	中國文化協會積極徵求會員
page 7	卅九間銀號獲准經營外匯
page 7	兩商會新職員
page 7	西商會司理祁氏贊同政府徵收所得稅有能力者納其辦法實最公平望各界人士平心靜氣再加研究
page 8	修正無業遊民條例警當局得隨時驅逐出境
page 8	今日督憲杯第一戰中西聯軍會師下午三時半在海軍場雙方實力均勁百戰難免
page 8	聯賽米軍逼和南南二比一
page 8	公開排籃球賽昨日戰績
page 8	昨日賽馬成績干非順卑創新紀錄以一分五十四秒跑一里泥惠禮獲聖列芝賽冠軍
