page 1	墨索里尼調停歐戰
page 2	西線戰事又復開展德軍採取主動攻勢卒被擊退損失重大
page 2	德軍準備施用毒氣因此延期進攻華沙大批毒彈後方運來
page 2	英軍開抵法境情形英名記者克里福特初次報道
page 2	墨索里尼有意袒德籲請雙方停戰意政府仍繼續維持親德政策但意國決不先發動軍事行動
page 2	國立各院校統一招生考試經過統計取錄一萬九千餘人
page 2	德秘密電台廣播致德人書喚起一般民眾反抗納粹政府
page 2	畢德門提案要義兩點
page 2	愛沙尼亞保證中立
page 2	德被封鎖缺乏咖啡
page 2	美參院外委會商討修正中立法案注重廢止軍火禁運問題
page 2	伊索尼亞外長赴莫斯科
page 2	劃分波蘭蘇獲重大利益蘇聯已在中歐保有強固地位德國勢力乃不得不轉而西向
page 2	齊格菲陣線缺點甚多空氣不甚流通糧食運輸困難
page 2	羅鐵衛團多被處決
page 2	侵波蘇軍向劃定界限推進法前鋒已抵德西部防線德軍開始向華沙城砲攻
page 3	華北活躍的小英雄們晉冀察邊區的兒童救亡工作
page 3	廣大的兒童組織起來了
page 3	野孩子受到新教育洗禮
page 3	教育了群眾鼓動了戰士
page 3	日國內物價繼續上漲政府攷慮出口增稅
page 3	華北今年棉產歉收津紗廠因水災停工
page 3	汎美大會昨已開幕
page 3	庚款教育文化補助費本屆支配情形因戰事影響息金收入銳減
page 3	土國地震損失慘重
page 3	三水日軍進犯蘆苞我迎擊展開血戰
page 3	贛北日軍向我砲擊冶城附近仍有劇戰
page 3	德國空軍缺乏煤油
page 3	蘭敦勸羅斯福勿再競選
page 3	日嚴厲統制平市物資糧食漲價一倍有奇
page 3	芬蘭輪船亦被擊沉
page 3	駐滬蘇領赴日
page 3	印度實行出口領照
page 3	歐洲小國謀組集團
page 3	心理分析學家又弱一個息曼霍律特逝世
page 3	比在邊界樹立標識
page 3	滬難民兒童教養院幹事李如璋昨遇刺
page 3	湘北日軍大舉南犯企圖窺伺長沙經我迎擊展開劇戰營田已無日軍蹤蹟
page 5	日仍加緊築防未敢輕進
page 5	我夜襲大王頭激戰情形
page 5	江會戰情仍緊交通近況
page 5	中山海外僑商救濟桑梓
page 5	新開新鶴戰情另詳新鶴方面我軍反攻獲勝第二區署亦已遷回井根大澤蓮塘難民急待救濟
page 5	新開方面
page 5	新鶴方面
page 5	三埠方面
page 5	九一八日我機飛廣州散傳單
page 5	西江日軍犯金利中地雷
page 5	台山上下川海面已無日艦
page 5	東江南岸各地戰事沉寂
page 5	岐關路取締外來汽車
page 5	粵省要聞縮編
page 5	令游擊戰區內移藏廢舊金屬
page 5	廿一晚一六兩區團隊五路反攻容桂激戰詳情我一度克復容桂國徽飄揚空際午夜日艦增援我軍安全退出我軍乘勢焚日軍貯藏庫三座所獲戰果開反攻容奇新紀錄
page 5	粵各機關籌劃設火柴廠短期內可成立
page 5	蔣委員長申令所屬奮鬥到底克盡厥職者國有勛賞獎勵怯懦辱職者法有處罰明文
page 5	合靈欽防各縣八月征兵成績
page 5	李磊夫開行政會報
page 5	中山將建戰地醫院
page 5	日軍又向中山橫門增兵現忙於築防未敢輕舉再犯我夜襲大王頭之激戰情形三江民　會保護三埠輪渡航行
page 7	米
page 7	柴
page 7	豬
page 7	九龍城打鼓嶺村木屋十間失火被焚貧民棲寄無地相對痛哭警察　返警署設法收容
page 7	我交部材料庫被焚損失並非重大百五十萬元之數絕對不確其實庫內存貨僅值數萬元
page 7	警當局取締樓梯底小商店
page 7	般含道區自衛團召開街坊會議
page 7	惠陽商會賑濟新界難民
page 7	興寧同鄉會昨日正式成立
page 7	關晃明追悼會改廿八日舉行
page 7	港政府平準物價或將以進口價為依據統制物價法例在修訂中柴米源源運港價格略跌
page 8	追索賭賬
page 8	重傷斃命
page 8	捕獲疑犯
page 8	各部職員名表
page 8	中國文協會理事會組織法各部職員業已選定
page 8	理事會組織法
page 8	廣州日軍大捕壯丁連日被捕者凡數百人我游擊宣傳隊極活躍
page 8	海盜又劫貨艇
page 8	琴齋藝展今日已為最後一天全部作品盡量陳列
page 8	少婦路遇搶匪
page 8	海河足球聯隊昨又戰和西聯三比三客軍曾佔先兩球阜拉再作馮婦連中三元
page 8	阿海先開紀錄
page 8	阜拉銅頭破關
page 8	後日再戰東方
page 8	顛馬連聲報喜
page 8	華人週年水運第二日成績甚佳
page 8	夏令籃球賽虹虹榮膺冠軍勵行居次席僑星得第三
page 8	港大水運有期
page 8	南華會友籃球賽昨日舉行頒獎
page 8	追索賭賬竟害一命少年被倒擲地上慘死警探捕獲犯一人扣留訊辦
