page 1	波羅的海之安全問題
page 2	財部發出通告舉辦外幣儲蓄由中中交農四行辦理利率則由二厘至七厘
page 2	上海西區一帶昨聞炮聲甚烈
page 2	外記者報告華中近狀
page 2	德空軍頻飛英國偵察投下小型炸彈試英空防力量
page 2	印督將與各政治領袖商討印度問題
page 2	蔣夫人以雞雛送緬甸某新城改良該地雞種
page 2	鄉寧以西我日發生激戰我連續克復重要據點
page 2	我軍在沙頭捕獲日本軍官
page 2	津日軍又加緊封鎖英法租界
page 2	鳥蘭察布盟旗王投誠中央
page 2	德國煤油缺乏人做燃料不適軍用
page 2	意國人口增加
page 2	政院會議李品仙主皖呈請國府明令褒揚廖磊任命邱椿為贛省府委員
page 2	振委會救濟蒙旗難胞放發賑款十萬元
page 2	膠東日軍潰退
page 2	南京偽府十萬現款被劫偽府官吏一死一傷
page 2	胡適在美演講日本軍閥尚　促其覺悟中日戰爭仍將繼續下去
page 2	美對遠東態度強硬日圖拉攏蘇聯以抗美須磨談話用意即在試探蘇聯態度中國堅強抗戰亦迫日向蘇聯獻媚
page 3	芬代表團赴蘇續向蘇聯談判代表人選仍無變更美對芬蘭表示同情
page 3	德國集中營黑暗等於地獄營中刑罰鞭笞槍決黑衣衛隊殘酷兇狠
page 3	美眾院開始辯論中立法案民主黨議員以全力促該案通過
page 3	西線軍事又較活動摩沙里萊茵河一帶頻發生局部之砲戰
page 3	美一碗飯運動籌賑華災
page 3	英空軍飛德偵察
page 3	蘇聯國會開會蘇外長將發表重要演說報告蘇聯一船外交政策
page 3	意國內閣改組大批人員更動
page 3	德國戰鬥機不甚好用德俘虜之自供
page 3	美人克爾曼認罪判處監禁
page 3	土國國民會議定期今日開會
page 3	柔佛人民表示一致擁護英國
page 3	美輪火石城號駛到挪威海港輪上懸掛納粹旗
page 3	日機大學轟炸西安洛陽洛陽炸毀民房甚多平涼落彈二百餘枚
page 3	國聯下月代表大會將不討論歐戰問題波蘇代表難免在場中相見
page 3	德國秘密警察清理納粹犯人槍斃犯人已逾千名
page 3	英輪雅典號被擊沉之經過英已照會美政府
page 3	蘇軍開入列維亞奏列維亞國樂開入列國蘇軍約有二萬分駐於各重要軍事要點
page 3	顏惠慶赴美京預備出席太平洋國交協會
page 3	國際形勢於德不利柏林空氣嚴重德國癡想意國援助但意蘇間不能合作
page 5	迫令外輪駛離化海
page 5	我軍警決全力應付
page 5	戰地黨政分會電飭解除戰區民眾痛苦派員深入各鄉作有力宣傳內移民眾應設法護助安置
page 5	深圳日軍北犯受挫在圍嶺被我軍擊潰偽組織人員之衝突赤灣海面漁船被害
page 5	日機日艦犯龍門港
page 5	新中戰訊撮要
page 5	陳村各地盜匪　起洗劫　墟民族路店戶與日軍發生劇戰焚燬日軍儲糧庫
page 5	中央規定集會口號
page 5	各縣壯丁隊應依制編人數
page 5	日機連擾三埠續詳民船貨艇亦多被害新開新鶴各線戰情
page 5	日機連日窺擾三埠
page 5	蔣光鼐繼任黨政分會主委譚惠泉任秘書長
page 5	救濟四邑難童恩平設兒童教養團
page 5	新會橫江匪患已清
page 5	台山救濟會救濟廣海漁民
page 5	軍委會頒佈表揚抗戰忠勇官兵辦法各官兵事蹟　入史鑑及送報刊登
page 5	欽廉情勢仍緊日艦迭闖北海港威脅市區任意搜查外國商船並探測水度日機轟炸龍門港日艦進犯不逞
page 7	誤觸水雷輪艇粉碎
page 7	事前已接警輪警告
page 7	港大校務會新委員之名單
page 7	新運婦女會捐送大批藥物
page 7	派報公會要求增加報紙售價提議一仙小型報增至二仙因發行價格提高難獲一飽
page 7	賑聯會昨會議
page 7	港府拍賣公地
page 7	留營難民略減
page 7	中國工業社分社遍佈全國現已有千二百餘間
page 7	本港將再舉行戰時燈火管制演習演習時或施行戒嚴令無特許證者不許外出
page 7	兒童保育會又募得千餘元
page 7	羅旭和等昨檢閱自衛團
page 7	日艦又劫漁船船上財物被掠一空人幸無恙
page 7	圖殺親夫疑案押候三日再審
page 7	爛頭島海面小輪貨艇誤觸水雷死數十人遇險輪艇係由廣州開行來港全船被炸粉碎船員大部殉難
page 8	大　殺妾案判決彭如惠處死刑陪審員一致認其有罪但請寬辦法官極表同情將代向港督請求
page 8	戰爭期內禁軍人佩功牌
page 8	舊牌鎳幣停用
page 8	男婦戀姦疑案續審陳廣順供述其妻私逃經過馮妹謂不堪虐待故懷去志
page 8	血案獲一疑犯
page 8	的士增加票價港府尚未批准
page 8	紀念英故皇游樂場將興建
page 8	工人失足跌斃
page 8	和平紀念日本港自製罌花倫敦之花趕不及應市
page 8	汎美機改航期
page 8	中青救護團第八隊抵中山
page 8	及格防空人員又增加百餘人
page 8	藥商阮其溥抵港
page 8	八一三劇團近訊
page 8	準備特別銀牌賽群雄厲兵秣馬東方若瑟積極招兵雄心勃勃凱覦寶座
page 8	體協會乒乓團體決賽秩序編定週末開始舉行
page 8	南華十七屆陸運今日止截報名
page 8	學界籃球戰績
page 8	南華會友乒乓結束
page 8	今舉行成立典禮
page 8	　積機擴展空軍航空訓練處已增至四十三所在角島設機場為空軍前哨站
