page 2	近衛松岡之惶惑
page 3	英日磨擦渡過高潮日僑一名業予釋放日閣議決暫不採取報復行動聞法對日態度轉強決心抵抗
page 3	上海惡勢力圖利用白俄在幕後極盡操縱之能事法租界白俄督察員被殺
page 3	滬義水兵肇事被擊傷一名另一名就逮滬義駐軍暫不他調 
page 3	上海的黑暗兩句極其普通的話受信人竟無辜被捕 
page 3	英使卡爾由威海衛南來傳昨晚可抵滬
page 3	行政院例會 
page 3	餘漢謀報名粵省軍政現況婦女界將聯電羅斯福夫人致謝
page 3	吉安英教會被日機炸毀陶牧師電滬英領請代向日方抗議
page 3	滬又一綁票案美亞綢廠少東被匪架去沈錦洲被勒索四十萬元
page 3	海外僑胞子弟回國服務一個進身機會參加高考可受優待
page 3	滬稅務學校校址竟被霸佔
page 3	南京毫無生氣日新閣政策使汪大失望欲求謁板垣又連碰釘子
page 3	國法難逃憑祥維持會長陶巨烈被我捕獲
page 3	上海市場不景氣原因　
page 3	回教老人馬洪春在桂病逝 
page 3	金融最高機關籌設縣鄉銀行活潑地方經濟便利資金流通
page 3	糧食管理局已開始辦公內部分設三處兩室
page 3	被扣美輪獲釋抵滬
page 3	桂省立醫學積極擴充
page 3	移墾開荒
page 3	校長會議
page 3	加緊禁煙
page 3	豫鄂殲日經過記二
page 3	重光訪英外相
page 3	越南態度堅定
page 4	襄西日軍疲困主力傳有撤退模樣湘北我軍戒備甚嚴密
page 4	美議員揭破檀島日僑陰謀從事第五縱隊活動洛杉磯破獲暗殺網
page 4	義大利準備作長期戰爭放棄今夏採取進攻希望德機大舉進襲倫敦
page 4	羅斯福會見拉丁美洲代表商美洲安全問題
page 4	拉特維亞加入蘇聯蘇聯最高會議已通過
page 4	近衛文麿擬對新政治體制發表一具體之詮釋
page 4	英波當局商組波軍將聽命英方指揮
page 4	美新輸下水門羅總統號
page 4	美報批評日南進政策均認日本此項政策係在掩護對華推向
page 4	加拿大組織飛行團將美機駕赴英國
page 4	德國任命駐法新大使
page 4	英失業人數略有增加
page 4	傳德義促土表明態度軸心國期待東南歐和平羅匈領土談判即將舉行
page 4	倫敦當局逮捕帝俄武官
page 4	法國勞工每週工作五十一小時
page 4	民政黨解體最近將開黨員大會
page 4	本年上半年我輸美桐油較去年同期幾增一倍
page 4	祝新代督就職
page 4	茅屋無用
page 4	高爾決定新軍旗幟羅蘭紅十字旗
page 4	莫洛托夫演說全文二
page 4	美蘇新商約不久即可成立雙方當局業已布置就緒同意將舊約再延期一年
page 4	美陸軍大演習規模之大承平時代所未有赫爾勗國人努力協助擴軍馬夏爾促議會通過徵兵案
page 5	廣州灣禁運後商民請願無結果市場停滯糧食發生恐慌寸金橋封鎖稍鬆行人可自由
page 5	四邑防務彭霖生積極增強周漢鈴趙其休分任支隊長袁帶派大隊開抵某地協防 
page 5	浙保安處長督察各縣糧食居奇不售企圖偷漏軍法嚴辦就地解決
page 5	日機偵察中新邊境
page 5	　涌小托仍有激戰
page 5	偷雞不著反蝕把米
page 5	粵農林局消息早稻豐收東北江略歉
page 5	貴陽市維持軍紀憲 兵團嚴密稽查
page 5	西康日記一三八第七編由梭坡到九龍 
page 5	上海酷熱虎疫蔓延
page 5	重慶點滴
page 5	迎櫬記
page 6	新代督諾爾頓中將昨晨抵港宣誓就職全港官紳蒞臨碼頭歡迎晚間廣播維持帝國完整 
page 6	港僑商團體按國曆祀孔普益疋頭兩行擴大舉行教聯會至今仍未能決定
page 6	燈火管制演習廿七日舉行防空處昨日公布詳細辦法使市民明瞭警報之真義
page 6	上海來客談滬商人另尋出路或向國外或赴內地經營　
page 6	華僑工商學院籌設博物館學專修科國內設博物館需人孔亟即日招生本年九月開課
page 6	孫院長並未來港
page 6	塘西歌姬響應售花運動
page 6	汛美公司美國飛剪機今晨飛菲轉美
page 6	今年統考生成績比較去年進步考卷當眾揭封造冊寄渝最早本月中旬始可放榜
page 6	福利會登記僑胞疏散辦法將公布或將全部移交省振會港處須待磋商接洽後始能決定
page 6	華商總會昨開常會報告保衛團籌備近況
page 7	公開乙組籃球今晚冠軍爭奪戰培英保羅狹路再相逢
page 7	英國網球明星舉行義賽蔡惠全何愛英亦參加 
page 7	東方遠征追記
page 7	勝霹靂聯隊結果五比二 
page 7	學界籃球亞軍決賽今日思思會戰南華
page 7	星島足球遠征隊喪師雪蘭峨淨輸三球遭逢滑鐵盧
page 7	夏令籃球雨中鏖戰精武勇克晨鍾
page 7	遠東時局暗潮洶湧港匯市受波動美匯市況昨一緊再緊 
page 7	八九金市昨日活躍
page 7	國幣市況依然穩定
page 7	股票市況冷落買賣呆滯股價不支
page 7	本屆聯賽秩序定十四日抽籤總會昨通告各甲組球隊
page 7	今晚水藝會中華鐘聲分別舉行
page 7	東方足球場會球員動態李義臣有心歸隊許文奎無意返港
page 7	南華三次水藝
